category,prod_name,prod_price,product_picture,run_date
Galletitas,GALLETITAS C/COCO NATURAL COSTA 35 GR,Gs   3.350,https://www.stock.com.py/images/thumbs/0208367_500.jpeg,2/4/24
Galletitas,GALLETITAS MINIMANTEQUILLA 45GR,Gs   3.350,https://www.stock.com.py/images/thumbs/0208366_500.jpeg,2/4/24
Galletitas,GALLETITAS AZUCARADA COSTA DULCITAS 35GR,Gs   3.350,https://www.stock.com.py/images/thumbs/0208365_500.jpeg,2/4/24
Galletitas,GALLETITA CHOC/RELL/VAIN OREO 182.5GR,Gs   8.500,https://www.stock.com.py/images/thumbs/0207995_500.jpeg,2/4/24
Galletitas,GALLETITAS DE CHOCOLATE PIRAQUE 40GR,Gs   2.900,https://www.stock.com.py/images/thumbs/0207634_500.jpeg,2/4/24
Galletitas,GALLETITAS C/CHIPS CHOCO PIRAQUE 40GR,Gs   2.900,https://www.stock.com.py/images/thumbs/0207633_500.jpeg,2/4/24
Galletitas,GALLETITAS DE AGUA GRANIX SANDWICH 200GR,Gs   7.000,https://www.stock.com.py/images/thumbs/0207450_500.jpeg,2/4/24
Galletitas,CARAMELOS S/MENTA MENTHOPLUS MINI 20GR,Gs   2.200,https://www.stock.com.py/images/thumbs/0207407_500.jpeg,2/4/24
Galletitas,GALLETITA DULCE S/CHOCOLATE PIRAQUE 132G,Gs   6.400,https://www.stock.com.py/images/thumbs/0207401_500.jpeg,2/4/24
Galletitas,GALLETITAS D/CHOCO C/VAIN OREO PACK 354G,Gs   17.000,https://www.stock.com.py/images/thumbs/0207384_500.jpeg,2/4/24
Galletitas,GALLETITAS DULCES SURT TERRABUSI 390GR,Gs   11.500,https://www.stock.com.py/images/thumbs/0207192_500.jpeg,2/4/24
Galletitas,GALLETITAS CON CACAO PEPITOS MINI 50GR,Gs   3.500,https://www.stock.com.py/images/thumbs/0207191_500.jpeg,2/4/24
Galletitas,GALLETITAS SURT TERRABUSI VAR DOR 310GR,Gs   11.500,https://www.stock.com.py/images/thumbs/0207088_500.jpeg,2/4/24
Galletitas,GALLETITAS DULCES CHOCO PEPITOS MINI 50G,Gs   3.500,https://www.stock.com.py/images/thumbs/0206922_500.jpeg,2/4/24
Galletitas,GALLETITAS BAN?D E/CHOCO MILKA OREO 119GR,Gs   14.800,https://www.stock.com.py/images/thumbs/0206856_500.jpeg,2/4/24
Galletitas,GALLETITA INTEGRAL PACK 3UN CEREALITAS,Gs   17.800,https://www.stock.com.py/images/thumbs/0206780_500.jpeg,2/4/24
Galletitas,GALLETITA CHOCOLATE  VAINILLA OREO 118GR,Gs   6.500,https://www.stock.com.py/images/thumbs/0206446_500.jpeg,2/4/24
Galletitas,GALLETITAS MAZZEI MINI CHIPS FAMILIAR BSA 175 GR ,Gs   6.000,https://www.stock.com.py/images/thumbs/0205773_500.png,2/4/24
Galletitas,GALLETITAS DULCES MINI CHIPS 35GR AVENTURA BSA,Gs   1.500,https://www.stock.com.py/images/thumbs/0205772_500.jpeg,2/4/24
Galletitas,GALLLETITAS RELL SAB/CHOCOLATE AVENTURA 120GR PLAST,Gs   3.000,https://www.stock.com.py/images/thumbs/0205771_500.jpeg,2/4/24
Galletitas,GALLETITAS RELL SAB/VAINILLA AVENTURA 120GR PLAST,Gs   3.000,https://www.stock.com.py/images/thumbs/0205770_500.jpeg,2/4/24
Galletitas,GALLETITAS RELL CHOCOCREMA AVENTURA 120GR PLAST,Gs   3.000,https://www.stock.com.py/images/thumbs/0205769_500.jpeg,2/4/24
Galletitas,GALLETITAS RELL SAB/FRUTILLA AVENTURA 120GR PLAST,Gs   3.000,https://www.stock.com.py/images/thumbs/0205768_500.jpeg,2/4/24
Galletitas,GALLETITAS SALADAS D/PECES 350G ECI POT,Gs   22.500,https://www.stock.com.py/images/thumbs/0204696_500.jpeg,2/4/24
Galletitas,MARILAN GALLETITAS DULCES DE COCO 350 GR,Gs   10.000,https://www.stock.com.py/images/thumbs/0204650_500.jpeg,2/4/24
Galletitas,MARILAN GALLETITAS DULCES DE MAIZENA 350 GR,Gs   10.000,https://www.stock.com.py/images/thumbs/0204649_500.jpeg,2/4/24
Galletitas,MARILAN GALLETITAS DULCES DE MAIZENA 170 GR,Gs   5.350,https://www.stock.com.py/images/thumbs/0204648_500.jpeg,2/4/24
Galletitas,EMMA-S GALLETITAS RELLENAS SABOR LIMON 125 GR,Gs   5.000,https://www.stock.com.py/images/thumbs/0204593_500.jpeg,2/4/24
