category,prod_name,prod_price,product_picture,run_date
A Granel,FIAMBRE UPISA CERVECERO X KG,Gs   34.900,https://www.stock.com.py/images/thumbs/0208304_500.jpeg,28/5/24
A Granel,PANCETA AHUMADA X KG UPISA,Gs   60.950,https://www.stock.com.py/images/thumbs/0207018_500.jpeg,28/5/24
A Granel,COSTELETA AHUMADA OCHSI X KG,Gs   40.600,https://www.stock.com.py/images/thumbs/0206982_500.png,28/5/24
A Granel,SALAME LA CASONA PEPPERONI X KG,Gs   106.900,https://www.stock.com.py/images/thumbs/0206261_500.jpeg,28/5/24
A Granel,SALAME TIPO MILAN CHACRA xKG,Gs   89.900,https://www.stock.com.py/images/thumbs/0198472_500.jpeg,28/5/24
A Granel,SALAME TIPO MILAN CAGNOLI XKG S/E,Gs   118.900,https://www.stock.com.py/images/thumbs/0198471_500.png,28/5/24
A Granel,JAMONADA FRIMESA xKG,Gs   36.900,https://www.stock.com.py/images/thumbs/0187848_500.jpeg,28/5/24
A Granel,CHORIZO PARRILLERO SIN PICANTE FRANZ xKG,Gs   35.250,https://www.stock.com.py/images/thumbs/0185562_500.jpeg,28/5/24
A Granel,JAMONADA SADIA X KG,Gs   41.900,https://www.stock.com.py/images/thumbs/0173834_500.jpeg,28/5/24
A Granel,PECHUGA DE PAVO SADIA X KG,Gs   132.900,https://www.stock.com.py/images/thumbs/0173751_500.jpeg,28/5/24
A Granel,PALETA COCIDA DE JAMON CERDO SADIA ,Gs   54.900,https://www.stock.com.py/images/thumbs/0173750_500.jpeg,28/5/24
A Granel,JAMON COCIDO FRANZ X KG,Gs   63.500,https://www.stock.com.py/images/thumbs/0166602_500.png,28/5/24
A Granel,MORTADELA GUARANI X KG,Gs   29.000,https://www.stock.com.py/images/thumbs/0162904_500.jpeg,28/5/24
A Granel,CHORIZO DE VIENA FRANZ X KG,Gs   35.250,https://www.stock.com.py/images/thumbs/0161471_500.jpeg,28/5/24
A Granel,PANCHO FRANZ X KG,Gs   34.500,https://www.stock.com.py/images/thumbs/0161470_500.jpeg,28/5/24
A Granel,FIAMBRE SURTIDO OCHSI X KG,Gs   36.700,https://www.stock.com.py/images/thumbs/0157732_500.jpeg,28/5/24
A Granel,PANCETA AHUMADA OCHSI X KG,Gs   49.050,https://www.stock.com.py/images/thumbs/0157729_500.jpeg,28/5/24
A Granel,JAMON CRUDO OCHSI 1 KG,Gs   67.500,https://www.stock.com.py/images/thumbs/0157723_500.jpeg,28/5/24
A Granel,MORTADELA ESPECIAL FRANZ X KG,Gs   34.450,https://www.stock.com.py/images/thumbs/0140385_500.jpeg,28/5/24
A Granel,FIAMBRE SURTIDOS FRANZ X KG ,Gs   31.950,https://www.stock.com.py/images/thumbs/0140368_500.jpeg,28/5/24
A Granel,JAMONADA FRANZ X KG,Gs   35.900,https://www.stock.com.py/images/thumbs/0140366_500.jpeg,28/5/24
A Granel,SALAME CHORTI TIPO PEPERONI X KL,Gs   69.900,https://www.stock.com.py/images/thumbs/0140346_500.jpeg,28/5/24
A Granel,PANCETA AHUMADA CHORTI X KG,Gs   52.350,https://www.stock.com.py/images/thumbs/0139530_500.jpeg,28/5/24
A Granel,JAMONADA GRANDE KG.,Gs   25.600,https://www.stock.com.py/images/thumbs/0139411_500.jpeg,28/5/24
A Granel,FIAMBRE SURTIDO GRANDE X KG . GRANDE,Gs   25.900,https://www.stock.com.py/images/thumbs/0139409_500.jpeg,28/5/24
A Granel,LOMO AHUMADO OCHSI X KG,Gs   75.900,https://www.stock.com.py/images/thumbs/0138814_500.jpeg,28/5/24
A Granel,JAMONADA CHORTI GRA 1 KL,Gs   33.300,https://www.stock.com.py/images/thumbs/0138729_500.jpeg,28/5/24
A Granel,JAMON COCIDO CHORTI 1 KG,Gs   53.050,https://www.stock.com.py/images/thumbs/0138728_500.jpeg,28/5/24
de Aves,HAMBURGUESA GUARANI POLLO 12 UN,Gs   30.600,https://www.stock.com.py/images/thumbs/0206742_500.jpeg,28/5/24
de Aves,HAMBURGUESA GUARANI POLLO 6 UN,Gs   15.600,https://www.stock.com.py/images/thumbs/0206737_500.jpeg,28/5/24
de Aves,NUGGETS DE POLLO KZERITO KZERO 300GR,Gs   14.350,https://www.stock.com.py/images/thumbs/0201788_500.png,28/5/24
de Aves,HAMBURGUESA KZERO POLLO CAJA 6UN,Gs   11.950,https://www.stock.com.py/images/thumbs/0201775_500.png,28/5/24
de Aves,HAMBURGUESA DE POLLO 12UN KZERO CAJA,Gs   23.950,https://www.stock.com.py/images/thumbs/0201774_500.png,28/5/24
de Aves,HAMBURGUESA DE PECHUGA X1 UN. KZERO,Gs   1.950,https://www.stock.com.py/images/thumbs/0201773_500.png,28/5/24
Adhesivos Varios,TRAMONTINA BASTON DE SILICONA 9 UNIDADES,Gs   10.200,https://www.stock.com.py/images/thumbs/0200626_500.jpeg,28/5/24
Adhesivos Varios,"PEGAMENTO ""SUPERUTIL"" SUPER ADHESIVO 90G",Gs   11.700,https://www.stock.com.py/images/thumbs/0192246_500.jpeg,28/5/24
Adhesivos Varios,ADHESIVO PARA CALZADO 9GR ECCOLE BLIS ,Gs   33.400,https://www.stock.com.py/images/thumbs/0190770_500.jpeg,28/5/24
Adhesivos Varios,ADHESIVO INSTANTÁNEO LA GOTITA 2 ML,Gs   13.700,https://www.stock.com.py/images/thumbs/0186240_500.jpeg,28/5/24
