category,prod_name,prod_price,product_picture,run_date
Cereales,CEREAL DE TRIGO CON LECHE INFANTIL NESTUM 250GR,GS.  28.100,https://www.superseis.com.py/images/thumbs/0226727_500.png,1/10/24
Cereales,CEREAL A BASE DE HARINA DE ARROZ INFANTIL NESTUM 350GR,GS.  45.300,https://www.superseis.com.py/images/thumbs/0226726_500.jpeg,1/10/24
Cereales,CEREAL TRIGO Y FRUTAS INFANTIL NESTUM 200GR,GS.  30.950,https://www.superseis.com.py/images/thumbs/0226725_500.jpeg,1/10/24
Cereales,CEREAL TRIGO-MIEL INFANTIL NESTUM 200GR,GS.  30.950,https://www.superseis.com.py/images/thumbs/0226724_500.png,1/10/24
Cereales,CEREAL 5 CEREALES INFANTIL NESTUM 200GR,GS.  30.950,https://www.superseis.com.py/images/thumbs/0226723_500.png,1/10/24
Placas/Cocinas,PLACA D/COCINA 1HOR NEG DAYO REF HP3106,GS.  188.900,https://www.superseis.com.py/images/thumbs/0254446_500.jpeg,1/10/24
Margarina,MARGARINA 500GR PRIMOR POT,GS.  13.800,https://www.superseis.com.py/images/thumbs/0253042_500.jpeg,1/10/24
Margarina,DELICIA MARGARINA CON CREMA DE LECHE 250 GR,GS.  9.400,https://www.superseis.com.py/images/thumbs/0251168_500.jpeg,1/10/24
Margarina,MARGARINA CON SAL SOYA 250GR,GS.  5.550,https://www.superseis.com.py/images/thumbs/0246135_500.jpeg,1/10/24
Margarina,DELICATA MARGARINA CREMA VEGETAL 250 GR,GS.  6.050,https://www.superseis.com.py/images/thumbs/0230952_500.jpeg,1/10/24
Margarina,DELICATA MARGARINA CREMA VEGETAL 500 GR,GS.  11.150,https://www.superseis.com.py/images/thumbs/0230951_500.jpeg,1/10/24
Margarina,ADORITA MARGARINA TROPICAL 500 GR,GS.  10.600,https://www.superseis.com.py/images/thumbs/0221473_500.png,1/10/24
Margarina,ADORITA MARGARINA TROPICAL 250 GR,GS.  6.100,https://www.superseis.com.py/images/thumbs/0221472_500.png,1/10/24
Margarina,MARGARINA SADIA QUALY ISTITUCIONA X KG,GS.  31.600,https://www.superseis.com.py/images/thumbs/0220495_500.jpeg,1/10/24
Cremas,CREMA DENTAL LUMINOUS WHITE COLGATE 90gr,GS.  32.550,https://www.superseis.com.py/images/thumbs/0256108_500.jpeg,1/10/24
Cremas,CREMA DENTAL MAXIMA PROTECCION ANTICARIES COLGATE 70gr,GS.  10.650,https://www.superseis.com.py/images/thumbs/0256103_500.jpeg,1/10/24
Cremas,CREMA DENTAL LUMINOUS WHITE CARBON ACTIVADO COLGATE 90gr,GS.  32.550,https://www.superseis.com.py/images/thumbs/0256086_500.jpeg,1/10/24
Cremas,CREMA DENTAL SMILES COLGATE 75ml,GS.  31.100,https://www.superseis.com.py/images/thumbs/0256085_500.jpeg,1/10/24
Cremas,CREMA DENTAL FAMILIAR TRIPLE ACCION COLGATE 125ml,GS.  25.850,https://www.superseis.com.py/images/thumbs/0256081_500.jpeg,1/10/24
Cremas,CREMA DENTAL NIÑOS SMILES MINIONS COLGATE 75ml,GS.  31.100,https://www.superseis.com.py/images/thumbs/0256077_500.jpeg,1/10/24
Cremas,CREMA DENTAL FAMILIAR TRIPLE ACCION COLGATE 125ml,GS.  25.850,https://www.superseis.com.py/images/thumbs/0256075_500.jpeg,1/10/24
Cremas,CREMA DENTAL FAMILIAR TRIPLE ACCION COLGATE 75ml,GS.  15.600,https://www.superseis.com.py/images/thumbs/0256074_500.jpeg,1/10/24
Cremas,CREMA DENTAL NATURAL EXTRACTS PURIF COLGATE 90GR,GS.  26.300,https://www.superseis.com.py/images/thumbs/0256073_500.jpeg,1/10/24
Cremas,CREMA DENTAL TOTAL 12 WHITENING COLGATE 90GR,GS.  26.700,https://www.superseis.com.py/images/thumbs/0252281_500.jpeg,1/10/24
Cremas,CREMA DENTAL MAXIMA PROTECCION COLGATE 90gr,GS.  9.950,https://www.superseis.com.py/images/thumbs/0252280_500.jpeg,1/10/24
Cremas,CREMA DENTAL MAXIMA PROTECCION ANTICARIES COLGATE 180gr,GS.  18.750,https://www.superseis.com.py/images/thumbs/0252278_500.jpeg,1/10/24
