category,prod_name,prod_price,product_picture,run_date
Aseo,CEPILLO DENTAL PARA NIÑOS BARBIE COLGATE,GS.  26.000,https://www.superseis.com.py/images/thumbs/0252265_500.jpeg,10/6/24
Aseo,CEPILLO DENTAL NIÑOS EXTRA SUAVE COLGATE,GS.  26.000,https://www.superseis.com.py/images/thumbs/0252260_500.jpeg,10/6/24
Aseo,ALICATE CON MANGO BABELITO,GS.  18.600,https://www.superseis.com.py/images/thumbs/0205052_500.jpeg,10/6/24
Aseo,ASPIRADOR NASAL BABELITO 1,GS.  22.500,https://www.superseis.com.py/images/thumbs/0180664_500.jpeg,10/6/24
Aseo,SUCCIONADOR DE LECHE BABELITO,GS.  75.000,https://www.superseis.com.py/images/thumbs/0180607_500.jpeg,10/6/24
Jabones,JABÓN LIQUIDO DAILY INTIMO CUIDADO SUAVE 350ML ,GS.  30.900,https://www.superseis.com.py/images/thumbs/0254725_500.png,10/6/24
Jabones,JABON FACIAL ANTIACNE TEENAGERS 120ML,GS.  16.500,https://www.superseis.com.py/images/thumbs/0254723_500.png,10/6/24
Jabones,JABON ANTIBACT PROTEX AVEN/PROBIOT 270GR,GS.  19.000,https://www.superseis.com.py/images/thumbs/0253492_500.jpeg,10/6/24
Jabones,JABON NIVEA HUMECTANTE LAVANDA/OLEOS 3U,GS.  19.950,https://www.superseis.com.py/images/thumbs/0253465_500.jpeg,10/6/24
Jabones,JABON TOC PETIT GRAIN COCO CAVALLARO 100GR,GS.  5.700,https://www.superseis.com.py/images/thumbs/0253164_500.png,10/6/24
Jabones,GEL DE DUCHA C/ ACEITE DE ARGAN 500ML BY,GS.  42.150,https://www.superseis.com.py/images/thumbs/0250724_500.jpeg,10/6/24
Jabones,GEL DE DUCHA GRANADA ROSA 500ML BYPHASSE,GS.  42.150,https://www.superseis.com.py/images/thumbs/0250723_500.jpeg,10/6/24
Jabones,GEL DE DUCHA FLOR DE VAINILLA 500ML BYPHASSE,GS.  44.150,https://www.superseis.com.py/images/thumbs/0250722_500.jpeg,10/6/24
Jabones,GEL DE DUCHA LECHE D ALMENDRA 500ML BYPH,GS.  36.000,https://www.superseis.com.py/images/thumbs/0250721_500.jpeg,10/6/24
Jabones,LACTOVIT MEN LACTOUREA 3 EN 1 GEL DE BA?O 500 ML,GS.  37.550,https://www.superseis.com.py/images/thumbs/0250716_500.jpeg,10/6/24
Jabones,JABON TOC HUMECT C2 3X125GR EDIC ESPECIAL,GS.  61.800,https://www.superseis.com.py/images/thumbs/0250608_500.jpeg,10/6/24
Jabones,REXONA JABON DE TOCADOR SENSIBLE DERM TEST 3 UNIDADES DE 125 GR,GS.  17.100,https://www.superseis.com.py/images/thumbs/0250571_500.jpeg,10/6/24
Jabones,LUX JABON CON GLICERINA JAZMIN CREMOSO 3 UNIDADES 125 GR,GS.  17.100,https://www.superseis.com.py/images/thumbs/0250565_500.jpeg,10/6/24
Jabones,MAR ANTIBAC KIDS JABON DE TOCADOR 90 GR 3 UNIDADES,GS.  12.500,https://www.superseis.com.py/images/thumbs/0249349_500.jpeg,10/6/24
Jabones,MAR COCO JABON DE TOCADOR OCEANO AZUL 125 GR 3 UNIDADES,GS.  12.500,https://www.superseis.com.py/images/thumbs/0249348_500.jpeg,10/6/24
Jabones,MAR JABON DE TOCADOR ROSAS Y CERAMIDAS 3 UNIDADES 125 GR,GS.  11.800,https://www.superseis.com.py/images/thumbs/0249345_500.jpeg,10/6/24
Jabones,MAR ANTIBAC JABON DE TOCADOR SOFT SKIN 125 GR 3 UNIDADES,GS.  15.500,https://www.superseis.com.py/images/thumbs/0249343_500.jpeg,10/6/24
Jabones,SIMOND-S DERMO CARE HIPOALERGENICO JABON EN GEL CON GLICERINA CREMOSO 750 ML,GS.  38.150,https://www.superseis.com.py/images/thumbs/0249309_500.jpeg,10/6/24
Jabones,SIMOND-S DERMO CARE HIPOALERGENICO JABON EN GEL CON GLICERINA AVENA 750 ML,GS.  38.150,https://www.superseis.com.py/images/thumbs/0249308_500.jpeg,10/6/24
Jabones,PLAISIR GEL DE DUCHA TE BLANCO 500ML BYP,GS.  42.150,https://www.superseis.com.py/images/thumbs/0249216_500.jpeg,10/6/24
Jabones,JABON DE TOCADOR C2 MAGICA ENERGIA 130 G,GS.  5.300,https://www.superseis.com.py/images/thumbs/0248828_500.jpeg,10/6/24
Jabones,JABON TOC FLORES AMAR/MIEL SUSI 80GR,GS.  3.100,https://www.superseis.com.py/images/thumbs/0248756_500.jpeg,10/6/24
Jabones,JABON TOC FLORES/ROSAS/CEREZAS SUSI 80GR,GS.  3.100,https://www.superseis.com.py/images/thumbs/0248755_500.jpeg,10/6/24
Jabones,JABON TOC FLORES D/ALG Y LECHE SUSI 80GR,GS.  3.100,https://www.superseis.com.py/images/thumbs/0248754_500.jpeg,10/6/24
Jabones,JABON EN BARRA C/AZUFRE ASEPXIA 100GR CJ,GS.  34.450,https://www.superseis.com.py/images/thumbs/0248427_500.jpeg,10/6/24
Jabones,JABON EN BARRA EXFOLIANTE ASEPXIA 100GR,GS.  34.450,https://www.superseis.com.py/images/thumbs/0248426_500.jpeg,10/6/24
Jabones,JABON EN BARRA FORTE ASEPXIA 100GR CJA,GS.  34.450,https://www.superseis.com.py/images/thumbs/0248425_500.jpeg,10/6/24
Alfajores,ALFAJOR C/DUL D/LECH PUNTA BALLENA 48GR,GS.  5.850,https://www.superseis.com.py/images/thumbs/0254582_500.jpeg,10/6/24
Alfajores,ALFAJOR ALFANUT BLANCO TATAKUA 30GR,GS.  7.500,https://www.superseis.com.py/images/thumbs/0254503_500.jpeg,10/6/24
